condition,seed,steps,srsa_euclid,srsa_city,loss,manifold_id,pca_variance_2d,mds_stress,mean_field_coherence,DTG_series,observation_discriminability
S2,seed_01,63000,0.6491198750783101,0.6662945057245616,0.002707536332309246,5.244474610866701,0.3258000910282135,0.38810755763502075,11.576133541153464,-0.017174630646251465,0.33600394439152487
S2,seed_01,64000,0.647505583528697,0.6660850600139993,0.002260467503219843,5.692703447494526,0.32156404852867126,0.3928415043766519,9.874055011860563,-0.018579476485302227,0.33600394439152487
S2,seed_01,65000,0.6633655083701028,0.6725882410840177,0.0022375655826181173,5.273829819439486,0.3222825229167938,0.3948990722114873,9.413446485047606,-0.009222732713914938,0.33600394439152487
S2,seed_01,66000,0.6602481962404316,0.6717877509769602,0.0022143220994621515,5.469493047753516,0.3218805193901062,0.3884483530241282,7.1540694501281585,-0.011539554736528568,0.33600394439152487
S2,seed_01,67000,0.6624604985570461,0.6785071321975252,0.0020274834241718054,5.39299971649545,0.31791457533836365,0.39179851104864577,8.829674794559628,-0.01604663364047909,0.33600394439152487
S2,seed_01,68000,0.6789321857415797,0.6904602263196216,0.0019554863683879375,5.374408619332424,0.3195352852344513,0.38946083287762245,10.924182601171367,-0.01152804057804191,0.33600394439152487
S2,seed_01,69000,0.6601330367223043,0.6780058974921775,0.001964033581316471,5.664443459290208,0.32181650400161743,0.3920136296078169,8.325490025379855,-0.017872860769873267,0.33600394439152487
S2,seed_01,70000,0.6718439552685925,0.6803850444161329,0.002113359048962593,5.358932906897986,0.3227318525314331,0.3887677500750303,9.763666399851227,-0.00854108914754037,0.33600394439152487
S2,seed_01,71000,0.6530932311327681,0.668480917126485,0.0019302461296319962,5.682473997105338,0.318889856338501,0.3939743270235929,10.098844058970514,-0.015387685993716982,0.33600394439152487
S2,seed_01,72000,0.6634042324331914,0.6754251045675489,0.0018917102133855224,6.12545676512839,0.31756898760795593,0.39852067269755637,7.480032494332011,-0.012020872134357541,0.33600394439152487
S2,seed_01,73000,0.6577678308640204,0.6702806565091564,0.001884095254354179,5.843962273958756,0.31625914573669434,0.3928856319477604,6.673077926100218,-0.012512825645136005,0.33600394439152487
S2,seed_01,74000,0.6645697517540784,0.681829322287543,0.0017535747028887272,5.8771722777190245,0.3191882073879242,0.3915077690631819,11.638271835941401,-0.017259570533464608,0.33600394439152487
S2,seed_01,75000,0.658358624270695,0.6706642261188634,0.0019542172085493803,5.612461084128413,0.3145343065261841,0.39771113351278825,8.325336538304635,-0.012305601848168424,0.33600394439152487
S2,seed_01,76000,0.6543344978650373,0.664559547543209,0.0018031419022008777,5.681208664494877,0.3152426481246948,0.39702995104987054,7.726258639683104,-0.010225049678171727,0.33600394439152487
S2,seed_01,77000,0.6657358273223575,0.6778643058613151,0.002305032452568412,5.757099580385112,0.3101561367511749,0.39785421746194527,8.599442222268639,-0.012128478538957599,0.33600394439152487
S2,seed_01,78000,0.6531516200315678,0.6751280038237492,0.0017841876251623034,5.376785967490997,0.3115560710430145,0.39557257409091684,11.099085173501695,-0.021976383792181364,0.33600394439152487
S2,seed_01,79000,0.6625251235718216,0.6741631753336557,0.0018738843500614166,6.438753289015154,0.3103802800178528,0.39923970032957184,8.304655648711378,-0.011638051761834078,0.33600394439152487
S2,seed_01,80000,0.6740587184638717,0.6858183469558705,0.0019093473674729466,5.463580277747083,0.3127026855945587,0.3995003768631316,8.061101458644108,-0.011759628491998853,0.33600394439152487
S2,seed_01,80000,0.6544048469993368,0.6645910092359288,0.0019093473674729466,6.241407229794963,0.3090957701206207,0.4009608023507181,7.303662776233476,-0.010186162236592078,0.33600394439152487
